question,item_in_question,question_type
吹出口の納品はいつですか,吹出口,いつ
吹出口の価格はいくらですか,吹出口,いくら
吹出口の長さはどれくらいですか,吹出口,長さ
吹出口の重さはどのくらいですか,吹出口,重さ
,,
吸込口はいつ届きますか,吸込口,いつ
吸込口の値段はいくらですか,吸込口,いくら
吸込口のサイズはどれくらいですか,吸込口,長さ
吸込口の重さは何キロですか,吸込口,重さ
,,
ユニバーサルグリルの納期はいつですか,ユニバーサルグリル,いつ
ユニバーサルグリルの料金はいくらですか,ユニバーサルグリル,いくら
ユニバーサルグリルの長さはどれくらいですか,ユニバーサルグリル,長さ
ユニバーサルグリルの重さはどれくらいですか,ユニバーサルグリル,重さ
,,
スリットグリルの納品はいつですか,スリットグリル,いつ
スリットグリルの価格はいくらですか,スリットグリル,いくら
スリットグリルの長さはどれくらいですか,スリットグリル,長さ
スリットグリルの重さは何キロですか,スリットグリル,重さ
,,
シーリングディフューザーの納期はいつですか,シーリングディフューザー,いつ
シーリングディフューザーの料金はいくらですか,シーリングディフューザー,いくら
シーリングディフューザーの長さはどのくらいですか,シーリングディフューザー,長さ
シーリングディフューザーの重さはどれくらいですか,シーリングディフューザー,重さ
,,
ノズルはいつ届きますか,ノズル,いつ
ノズルの値段はいくらですか,ノズル,いくら
ノズルのサイズはどれくらいですか,ノズル,長さ
ノズルの重さは何キロですか,ノズル,重さ
,,
ラインディフューザーの納期はいつですか,ラインディフューザー,いつ
ラインディフューザーの料金はいくらですか,ラインディフューザー,いくら
ラインディフューザーの長さはどれくらいですか,ラインディフューザー,長さ
ラインディフューザーの重さはどのくらいですか,ラインディフューザー,重さ
,,
ガラリの納品はいつですか,ガラリ,いつ
ガラリの価格はいくらですか,ガラリ,いくら
ガラリの長さはどれくらいですか,ガラリ,長さ
ガラリの重さはどのくらいですか,ガラリ,重さ
,,
エアフィルターの納期はいつですか,エアフィルター,いつ
エアフィルターの料金はいくらですか,エアフィルター,いくら
エアフィルターの長さはどれくらいですか,エアフィルター,長さ
エアフィルターの重さは何キロですか,エアフィルター,重さ
,,
防火ダンパーの納期はいつですか,防火ダンパー,いつ
防火ダンパーの料金はいくらですか,防火ダンパー,いくら
防火ダンパーの長さはどれくらいですか,防火ダンパー,長さ
防火ダンパーの重さはどれくらいですか,防火ダンパー,重さ
,,
一般ダンパーはいつ届きますか,一般ダンパー,いつ
一般ダンパーの値段はいくらですか,一般ダンパー,いくら
一般ダンパーのサイズはどれくらいですか,一般ダンパー,長さ
一般ダンパーの重さは何キロですか,一般ダンパー,重さ
,,
排煙口の納品はいつですか,排煙口,いつ
排煙口の価格はいくらですか,排煙口,いくら
排煙口の長さはどれくらいですか,排煙口,長さ
排煙口の重さは何キロですか,排煙口,重さ
,,
フィルターケーシングの納期はいつですか,フィルターケーシング,いつ
フィルターケーシングの料金はいくらですか,フィルターケーシング,いくら
フィルターケーシングの長さはどのくらいですか,フィルターケーシング,長さ
フィルターケーシングの重さは何キロですか,フィルターケーシング,重さ
,,
吹出口の納品日はいつですか,吹出口,いつ
吹出口の費用はいくらかかりますか,吹出口,いくら
吹出口の全長を教えてください,吹出口,長さ
吹出口の重さはどのくらいですか,吹出口,重さ
,,
吸込口はいつ手に入りますか,吸込口,いつ
吸込口の価格はどのくらいですか,吸込口,いくら
吸込口の長さはどのくらいありますか,吸込口,長さ
吸込口の重さは何キログラムですか,吸込口,重さ
,,
ユニバーサルグリルの納期を教えてください,ユニバーサルグリル,いつ
ユニバーサルグリルの値段はいくらかかりますか,ユニバーサルグリル,いくら
ユニバーサルグリルの長さはどれくらいですか,ユニバーサルグリル,長さ
ユニバーサルグリルの重量を教えてください,ユニバーサルグリル,重さ
,,
スリットグリルの納品予定日はいつですか,スリットグリル,いつ
